gw_timestamp,time_stamp,err_flag,wind_velocity,wind_direction,temperature,humidity,air_pressure,illuminance,rain_level,ultra_violet_a,ultra_violet_b,acceleration_x,acceleration_y,acceleration_z,inclination_xz,inclination_yz,max_wind_velocity,direct_max_wind_velocity,max_inst_wind_velocity,direct_max_inst_wind_velocity
2023-04-01 00:02:35 +07,2023-04-01 00:02:35 +07,32,1.118,144.899994,29,77,1007,0,0,0.02,0,0,0,1,3.9,7.6,1.627,177,3.096,193
2023-04-01 00:12:35 +07,2023-04-01 00:12:35 +07,32,1.169,160.5,29,77,1007,0,0,0.02,0,0,0,1,3.9,7.6,1.666,200,3.129,175
2023-04-01 00:22:35 +07,2023-04-01 00:22:35 +07,32,0.883,121.5,29,77,1007,0,0,0.02,0,0,0,1,3.9,7.6,1.718,184,3.497,160
2023-04-01 00:32:35 +07,2023-04-01 00:32:35 +07,32,1,137.600006,29,77,1007,0,0,0.02,0,0,0,1,3.9,7.6,1.92,157,3.569,156
2023-04-01 00:42:35 +07,2023-04-01 00:42:35 +07,32,1.203,124.400002,29,77,1007,0,0,0.02,0,0,0,1,3.9,7.6,1.989,142,4.023,161
2023-04-01 00:52:35 +07,2023-04-01 00:52:35 +07,32,0.805,107.400002,29,77,1007,0,0,0.02,0,0,0,1,3.9,7.6,1.484,174,2.52,205
2023-04-01 01:02:35 +07,2023-04-01 01:02:35 +07,32,0.988,123.5,29,77,1007,0,0,0.02,0,0,0,1,3.9,7.6,1.884,158,2.709,152
2023-04-01 01:12:35 +07,2023-04-01 01:12:35 +07,32,0.929,120.599998,29,78,1007,0,0,0.02,0,0,0,1,3.9,7.6,1.469,105,2.923,161
2023-04-01 01:22:35 +07,2023-04-01 01:22:35 +07,32,0.961,113.599998,29,78,1007,0,0,0.02,0,0,0,1,3.9,7.6,1.734,145,3.197,160
2023-04-01 01:32:35 +07,2023-04-01 01:32:35 +07,32,1.053,118.699997,29,78,1007,0,0,0.02,0,0,0,1,3.9,7.6,2.104,198,3.502,189
2023-04-01 01:42:35 +07,2023-04-01 01:42:35 +07,32,0.841,133.600006,29,78,1007,0,0,0.02,0,0,0,1,3.9,7.6,1.738,174,3.127,217
2023-04-01 01:52:35 +07,2023-04-01 01:52:35 +07,32,0.919,100.5,29,78,1006,0,0,0.02,0,0,0,1,3.9,7.6,1.852,168,2.963,180
2023-04-01 02:02:35 +07,2023-04-01 02:02:35 +07,32,1.082,131.100006,29,79,1006,0,0,0.02,0,0,0,1,3.9,7.6,1.928,154,3.07,158
2023-04-01 02:12:35 +07,2023-04-01 02:12:35 +07,32,1.344,143,29,78,1006,0,0,0.02,0,0,0,1,3.9,7.6,2.583,156,3.573,161
2023-04-01 02:22:35 +07,2023-04-01 02:22:35 +07,32,0.958,136.399994,29,79,1006,0,0,0.02,0,0,0,1,3.9,7.6,1.507,166,2.606,171
2023-04-01 02:32:35 +07,2023-04-01 02:32:35 +07,32,1.275,137.699997,29,79,1006,0,0,0.02,0,0,0,1,3.9,7.6,1.784,150,3.128,163
2023-04-01 02:42:35 +07,2023-04-01 02:42:35 +07,32,1.132,129.600006,29,78,1006,0,0,0.02,0,0,0,1,3.9,7.6,1.514,132,2.716,174
2023-04-01 02:52:35 +07,2023-04-01 02:52:35 +07,32,1.228,123.099998,29,77,1006,0,0,0.02,0,0,0,1,3.9,7.6,2.308,147,3.233,124
2023-04-01 03:02:35 +07,2023-04-01 03:02:35 +07,32,0.966,106.099998,29,77,1006,0,0,0.02,0,0,0,1,3.9,7.6,2.197,127,3.912,150
2023-04-01 03:12:35 +07,2023-04-01 03:12:35 +07,32,1.059,93.099998,29,77,1006,0,0,0.02,0,0,0,1,3.9,7.6,1.742,126,2.917,131
2023-04-01 03:22:35 +07,2023-04-01 03:22:35 +07,32,1.091,82.800003,28,79,1006,0,0,0.02,0,0,0,1,3.9,7.6,1.801,101,2.634,97
2023-04-01 03:32:35 +07,2023-04-01 03:32:35 +07,32,1.533,119,28,79,1006,0,0,0.01,0,0,0,1,3.9,7.6,2.52,172,4.326,188
2023-04-01 03:42:35 +07,2023-04-01 03:42:35 +07,32,1.342,87.099998,28,79,1006,0,0,0.01,0,0,0,1,3.9,7.6,2.577,134,3.71,139
2023-04-01 03:52:35 +07,2023-04-01 03:52:35 +07,32,0.824,79.300003,28,79,1006,0,0,0.01,0,0,0,1,3.9,7.6,1.259,72,2.025,54
2023-04-01 04:02:35 +07,2023-04-01 04:02:35 +07,32,1.176,123.199997,28,80,1006,0,0,0.02,0,0,0,1,3.9,7.6,1.797,132,3.078,176
2023-04-01 04:12:35 +07,2023-04-01 04:12:35 +07,32,1.179,116.5,28,80,1006,0,0,0.02,0,0,0,1,3.9,7.6,2.026,142,3.089,145
2023-04-01 04:22:35 +07,2023-04-01 04:22:35 +07,32,1.135,98.199997,28,80,1006,0,0,0.02,0,0,0,1,3.9,7.6,2.132,113,3.158,126
2023-04-01 04:32:35 +07,2023-04-01 04:32:35 +07,32,1.146,121.599998,28,80,1006,0,0,0.02,0,0,0,1,3.9,7.6,2.001,143,3.127,120
2023-04-01 04:42:35 +07,2023-04-01 04:42:35 +07,32,1.379,110.699997,28,80,1006,0,0,0.02,0,0,0,1,3.9,7.6,2.234,140,2.892,183
2023-04-01 04:52:35 +07,2023-04-01 04:52:35 +07,32,1.227,80.599998,28,81,1006,0,0,0.02,0,0,0,1,3.9,7.6,1.872,84,2.456,65
2023-04-01 05:02:35 +07,2023-04-01 05:02:35 +07,32,1.382,76,28,82,1007,0,0,0.02,0,0,0,1,3.9,7.6,2.093,74,2.468,85
2023-04-01 05:12:35 +07,2023-04-01 05:12:35 +07,32,1.714,83.199997,27,83,1007,0,0,0.02,0,0,0,1,3.9,7.6,2.183,87,2.9,96
2023-04-01 05:22:35 +07,2023-04-01 05:22:35 +07,32,1.935,80.5,27,84,1007,0,0,0.02,0,0,0,1,3.9,7.6,2.273,76,2.962,91
2023-04-01 05:32:35 +07,2023-04-01 05:32:35 +07,32,1.666,83.800003,27,85,1007,0,0,0.01,0,0,0,1,3.9,7.6,2.256,92,3.41,99
2023-04-01 05:42:35 +07,2023-04-01 05:42:35 +07,32,1.15,69.900002,27,86,1007,0,0,0.01,0,0,0,1,3.9,7.6,1.751,82,2.827,92
2023-04-01 05:52:35 +07,2023-04-01 05:52:35 +07,32,1.206,78.300003,27,86,1007,0,0,0.01,0,0,0,1,3.9,7.6,1.765,66,2.81,105
2023-04-01 06:02:35 +07,2023-04-01 06:02:35 +07,32,1.353,62.799999,27,87,1007,15,0,0.01,0,0,0,1,3.9,7.6,2.555,71,3.323,74
2023-04-01 06:12:35 +07,2023-04-01 06:12:35 +07,32,1.194,60.900002,27,87,1007,311,0,0.02,0,0,0,1,3.9,7.6,1.831,84,2.878,94
2023-04-01 06:22:35 +07,2023-04-01 06:22:35 +07,32,1.275,64.5,27,87,1007,1025,0,0.02,0,0,0,1,3.9,7.6,1.883,74,3.029,57
2023-04-01 06:32:35 +07,2023-04-01 06:32:35 +07,32,1.256,69.099998,27,87,1007,2769,0,0.04,0,0,0,1,3.9,7.6,1.846,82,2.806,83
2023-04-01 06:42:35 +07,2023-04-01 06:42:35 +07,32,1.437,80.5,27,87,1007,4896,0,0.08,0,0,0,1,3.9,7.6,2.305,72,3.037,64
2023-04-01 06:52:35 +07,2023-04-01 06:52:35 +07,32,1.503,70.800003,27,86,1007,7553,0,0.11,0,0,0,1,3.9,7.6,1.915,73,2.958,63
2023-04-01 07:02:35 +07,2023-04-01 07:02:35 +07,32,0.91,44.099998,27,85,1008,9780,0,0.15,0,0,0,1,3.9,7.6,2.17,71,2.769,38
2023-04-01 07:12:35 +07,2023-04-01 07:12:35 +07,32,1.628,71.699997,28,83,1008,12312,0,0.19,0,0,0,1,3.9,7.6,2.409,71,3.155,69
2023-04-01 07:22:35 +07,2023-04-01 07:22:35 +07,32,1.436,74,28,82,1008,15444,0,0.24,0,0,0,1,3.9,7.6,2.425,66,3.09,79
2023-04-01 07:32:35 +07,2023-04-01 07:32:35 +07,32,1.738,76.699997,29,81,1008,18419,0,0.29,0,0,0,1,4,7.6,2.762,76,3.222,62
2023-04-01 07:42:35 +07,2023-04-01 07:42:35 +07,32,1.464,69.800003,29,79,1008,21225,0,0.33,0,0,0,1,4,7.6,2.205,61,2.965,66
2023-04-01 07:52:35 +07,2023-04-01 07:52:35 +07,32,1.346,86.400002,30,77,1009,24489,0,0.37,0,0,0,1,4,7.6,2.068,77,2.954,69
