gw_timestamp,time_stamp,err_flag,wind_velocity,wind_direction,temperature,humidity,air_pressure,illuminance,rain_level,ultra_violet_a,ultra_violet_b,acceleration_x,acceleration_y,acceleration_z,inclination_xz,inclination_yz,max_wind_velocity,direct_max_wind_velocity,max_inst_wind_velocity,direct_max_inst_wind_velocity
2022-12-01 00:06:22 +07,2022-12-01 00:06:21 +07,32,1.232,51.5,26,90,1009,0,0,0.01,0,0,0,1,4,7.6,1.444,9,2.368,346
2022-12-01 00:16:22 +07,2022-12-01 00:16:21 +07,32,1.22,48.099998,26,90,1009,0,0,0.02,0,0,0,1,4,7.6,1.706,8,2.93,332
2022-12-01 00:26:22 +07,2022-12-01 00:26:21 +07,32,1.156,63.799999,26,91,1009,0,0,0.02,0,0,0,1,4,7.6,1.379,25,1.997,339
2022-12-01 00:36:22 +07,2022-12-01 00:36:21 +07,32,1.253,57.799999,26,91,1009,0,0,0.01,0,0,0,1,4,7.6,1.731,23,2.339,355
2022-12-01 00:46:22 +07,2022-12-01 00:46:21 +07,32,1.225,67.099998,26,92,1009,0,0,0.01,0,0,0,1,4,7.6,1.384,66,1.834,52
2022-12-01 00:56:22 +07,2022-12-01 00:56:22 +07,32,1.158,52.299999,26,91,1009,0,0,0.01,0,0,0,1,3.9,7.6,1.419,9,2.114,292
2022-12-01 01:06:22 +07,2022-12-01 01:06:21 +07,32,1.199,56.299999,26,90,1009,0,0,0.01,0,0,0,1,4,7.6,1.311,56,1.806,60
2022-12-01 01:16:22 +07,2022-12-01 01:16:21 +07,32,1.138,67.900002,26,90,1009,0,0,0.02,0,0,0,1,3.9,7.6,1.352,68,1.609,63
2022-12-01 01:26:22 +07,2022-12-01 01:26:21 +07,32,1.179,51.400002,26,90,1009,0,0,0.01,0,0,0,1,4,7.6,1.637,28,2.401,332
2022-12-01 01:36:22 +07,2022-12-01 01:36:22 +07,32,1.069,63.299999,26,89,1009,0,0,0.01,0,0,0,1,4,7.6,1.276,53,1.647,55
2022-12-01 01:46:22 +07,2022-12-01 01:46:21 +07,32,1.112,57.5,26,89,1008,0,0,0.01,0,0,0,1,3.9,7.6,1.441,27,2.105,332
2022-12-01 01:56:22 +07,2022-12-01 01:56:22 +07,32,1.09,57.700001,26,89,1008,0,0,0.01,0,0,0,1,4,7.6,1.189,64,1.853,345
2022-12-01 02:06:22 +07,2022-12-01 02:06:21 +07,32,1.162,66.5,26,89,1008,0,0,0.01,0,0,0,1,4,7.6,1.279,73,1.644,20
2022-12-01 02:16:22 +07,2022-12-01 02:16:22 +07,32,1.049,66.199997,26,89,1008,0,0,0.01,0,0,0,1,4,7.6,1.181,71,1.529,24
2022-12-01 02:26:22 +07,2022-12-01 02:26:21 +07,32,1.147,70.300003,25,89,1008,0,0,0.01,0,0,0,1,3.9,7.6,1.283,65,1.564,47
2022-12-01 02:36:22 +07,2022-12-01 02:36:21 +07,32,1.194,70.5,25,90,1008,0,0,0.01,0,0,0,1,4,7.7,1.375,69,1.824,63
2022-12-01 02:46:22 +07,2022-12-01 02:46:22 +07,32,1.131,70.5,25,90,1008,0,0,0.01,0,0,0,1,4,7.6,1.25,71,1.598,37
2022-12-01 02:56:22 +07,2022-12-01 02:56:21 +07,32,1.15,72.900002,25,91,1008,0,0,0.01,0,0,0,1,3.9,7.6,1.208,74,1.382,74
2022-12-01 03:06:22 +07,2022-12-01 03:06:22 +07,32,1.17,63.700001,25,91,1007,0,0,0.01,0,0,0,1,3.9,7.6,1.362,25,1.819,357
2022-12-01 03:16:22 +07,2022-12-01 03:16:22 +07,32,1.16,61.900002,25,91,1007,0,0,0.01,0,0,0,1,4,7.6,1.254,68,1.663,56
2022-12-01 03:26:22 +07,2022-12-01 03:26:22 +07,32,1.206,60.599998,25,91,1007,0,0,0.01,0,0,0,1,3.9,7.7,1.326,61,1.665,56
2022-12-01 03:36:22 +07,2022-12-01 03:36:21 +07,32,1.217,46.299999,25,92,1007,0,0,0.01,0,0,0,1,3.9,7.7,1.369,11,2.109,354
2022-12-01 03:46:22 +07,2022-12-01 03:46:21 +07,32,1.219,45.299999,25,92,1007,0,0,0.01,0,0,0,1,4,7.7,1.496,359,2.327,344
2022-12-01 03:56:22 +07,2022-12-01 03:56:21 +07,32,1.275,57.900002,25,93,1007,0,0,0.01,0,0,0,1,4,7.7,1.481,50,2.427,347
2022-12-01 04:06:22 +07,2022-12-01 04:06:21 +07,32,1.265,64,25,93,1007,0,0,0.01,0,0,0,1,4,7.7,1.505,45,2.07,48
2022-12-01 04:16:22 +07,2022-12-01 04:16:22 +07,32,1.259,58.5,25,94,1008,0,0,0.01,0,0,0,1,4,7.7,1.45,61,1.984,52
2022-12-01 04:26:22 +07,2022-12-01 04:26:22 +07,32,1.228,58.5,25,94,1008,0,0,0.01,0,0,0,1,4,7.7,1.623,24,2.596,332
2022-12-01 04:36:22 +07,2022-12-01 04:36:21 +07,32,1.126,55.900002,25,94,1008,0,0,0.01,0,0,0,1,3.9,7.7,1.242,63,1.648,6
2022-12-01 04:46:22 +07,2022-12-01 04:46:21 +07,32,1.176,58,25,94,1008,0,0,0.01,0,0,0,1,4,7.6,1.312,46,1.715,48
2022-12-01 04:56:22 +07,2022-12-01 04:56:21 +07,32,1.135,61.900002,25,95,1008,0,0,0.01,0,0,0,1,4,7.7,1.214,58,1.587,54
2022-12-01 05:06:22 +07,2022-12-01 05:06:21 +07,32,1.178,59.299999,25,95,1008,0,0,0.01,0,0,0,1,4,7.7,1.348,55,1.814,6
2022-12-01 05:16:22 +07,2022-12-01 05:16:22 +07,32,1.129,48.5,25,95,1008,0,0,0.01,0,0,0,1,3.9,7.7,1.287,66,2.009,337
2022-12-01 05:26:22 +07,2022-12-01 05:26:21 +07,32,1.03,347.600006,25,95,1008,0,0,0.01,0,0,0,1,3.9,7.7,1.306,336,2.36,299
2022-12-01 05:36:22 +07,2022-12-01 05:36:21 +07,32,1.04,4.9,25,95,1008,0,0,0.01,0,0,0,1,4,7.7,1.644,338,2.874,318
2022-12-01 05:46:22 +07,2022-12-01 05:46:21 +07,32,0.805,11.9,25,95,1008,0,0,0.01,0,0,0,1,4,7.7,1.147,356,1.809,309
2022-12-01 05:56:22 +07,2022-12-01 05:56:22 +07,32,0.814,32.799999,25,95,1008,0,0,0.01,0,0,0,1,4,7.7,1.034,50,1.822,47
2022-12-01 06:06:22 +07,2022-12-01 06:06:21 +07,32,0.925,42.700001,25,95,1008,0,0,0.01,0,0,0,1,4,7.7,1.272,27,2.054,39
2022-12-01 06:16:22 +07,2022-12-01 06:16:21 +07,32,0.862,43.599998,25,95,1009,9,0,0.01,0,0,0,1,4,7.7,1.233,18,2.163,337
2022-12-01 06:26:22 +07,2022-12-01 06:26:21 +07,32,0.97,45.599998,25,95,1009,159,0,0.01,0,0,0,1,4,7.7,1.258,40,1.784,75
2022-12-01 06:36:22 +07,2022-12-01 06:36:22 +07,32,1.07,38.099998,25,95,1009,725,0,0.02,0,0,0,1,4,7.6,1.264,23,2.243,324
2022-12-01 06:46:22 +07,2022-12-01 06:46:21 +07,32,1.088,47.799999,25,95,1009,1844,0,0.05,0,0,0,1,4,7.7,1.505,17,2.445,36
2022-12-01 06:56:22 +07,2022-12-01 06:56:22 +07,32,1.083,47.599998,25,94,1009,3481,0,0.09,0,0,0,1,4,7.7,1.558,49,2.895,45
2022-12-01 07:06:22 +07,2022-12-01 07:06:22 +07,32,1.228,34.900002,25,92,1009,5146,0,0.13,0,0,0,1,4,7.7,1.803,22,3.282,22
2022-12-01 07:16:22 +07,2022-12-01 07:16:21 +07,32,1.335,45.299999,25,91,1010,6705,0,0.16,0,0,0,1,4,7.6,1.919,44,3.16,322
2022-12-01 07:26:22 +07,2022-12-01 07:26:21 +07,32,1.421,34.5,26,91,1010,7599,0,0.18,0,0,0,1,4,7.7,2.105,0,3.16,322
2022-12-01 07:36:22 +07,2022-12-01 07:36:22 +07,32,1.096,57.900002,26,90,1010,9916,0,0.26,0,0,0,1,4,7.6,1.47,65,2.443,33
2022-12-01 07:46:22 +07,2022-12-01 07:46:21 +07,32,1.314,57.700001,26,88,1010,11448,0,0.31,0,0,0,1,4,7.6,1.879,55,3.105,29
2022-12-01 07:56:22 +07,2022-12-01 07:56:21 +07,32,1.792,45.700001,26,86,1010,12963,0,0.36,0,0,0,1,4,7.7,2.428,30,4.759,9
2022-12-01 08:06:22 +07,2022-12-01 08:06:22 +07,32,1.448,46.700001,26,86,1011,14571,0,0.41,0,0,0,1,4,7.6,2.263,47,3.401,343
2022-12-01 08:16:22 +07,2022-12-01 08:16:22 +07,32,0.998,65.699997,26,85,1011,16007,0,0.46,0,0,0,1,4,7.6,1.671,52,2.826,42
2022-12-01 08:26:22 +07,2022-12-01 08:26:22 +07,32,1.143,46.799999,26,84,1011,18540,0,0.52,0,0,0,1,4,7.6,1.811,36,2.744,33
2022-12-01 08:36:22 +07,2022-12-01 08:36:21 +07,32,0.874,58.700001,27,83,1011,23002,0,0.59,0,0,0,1,4,7.6,1.372,57,1.925,62
2022-12-01 08:46:22 +07,2022-12-01 08:46:22 +07,32,0.931,26.1,27,82,1011,29001,0,0.67,0,0,0,1,4,7.6,1.418,47,2.217,329
2022-12-01 08:56:22 +07,2022-12-01 08:56:21 +07,32,1.007,52.200001,27,81,1011,35115,0,0.77,0,0,0,1,4,7.5,1.675,54,2.655,23
2022-12-01 09:06:22 +07,2022-12-01 09:06:22 +07,32,0.941,9.6,28,80,1011,40278,0,0.88,0,0,0,1,4,7.5,1.894,329,2.572,314
2022-12-01 09:16:22 +07,2022-12-01 09:16:21 +07,32,0.89,1.4,28,79,1011,51302,0,1.01,0,0,0,1,4.1,7.5,1.602,340,2.47,334
2022-12-01 09:26:22 +07,2022-12-01 09:26:22 +07,32,0.969,21.6,29,76,1011,58748,0,1.15,0,0,0,1,4.1,7.5,1.355,343,2.545,329
2022-12-01 09:36:22 +07,2022-12-01 09:36:21 +07,32,1.313,350.200012,29,75,1011,66117,0,1.3,0,0,0,1,4.1,7.5,2.123,358,3.505,330
2022-12-01 09:46:22 +07,2022-12-01 09:46:22 +07,32,1.17,347.399994,30,75,1011,73358,0,1.47,0,0,0,1,4.1,7.5,2.378,325,3.806,310
2022-12-01 09:56:22 +07,2022-12-01 09:56:21 +07,32,1.157,19.9,30,74,1011,75246,0,1.58,0,0,0,1,4.1,7.5,2.101,32,3.378,16
2022-12-01 10:06:22 +07,2022-12-01 10:06:21 +07,32,1.11,33.299999,30,72,1011,80409,0,1.74,0,0,0,1,4.1,7.5,2.202,31,2.734,21
2022-12-01 10:16:22 +07,2022-12-01 10:16:21 +07,32,0.942,345.700012,31,71,1011,84033,0,1.85,0,0,0,1,4.1,7.5,1.984,321,3.719,324
2022-12-01 10:26:22 +07,2022-12-01 10:26:22 +07,32,0.649,21.1,32,68,1011,86577,0,1.96,0,0,0,1,4.1,7.4,1.333,11,2.203,3
2022-12-01 10:36:22 +07,2022-12-01 10:36:22 +07,32,1.268,312.399994,31,69,1011,85539,0,1.94,0,0,0,1,4.1,7.4,2.025,310,3.555,311
2022-12-01 10:46:22 +07,2022-12-01 10:46:21 +07,32,1.325,40.400002,31,69,1011,84026,0,1.98,0,0,0,1,4.1,7.4,2.645,80,3.514,329
2022-12-01 10:56:22 +07,2022-12-01 10:56:22 +07,32,1.323,351.799988,31,69,1011,91716,0,2.12,0,0,0,1,4.1,7.4,2.445,317,3.814,326
2022-12-01 11:06:22 +07,2022-12-01 11:06:21 +07,32,0.962,7,32,68,1010,96295,0,2.26,0,0,0,1,4.1,7.4,2.246,319,3.302,26
2022-12-01 11:16:22 +07,2022-12-01 11:16:21 +07,32,0.922,36.099998,32,66,1010,61933,0,1.66,0,0,0,1,4,7.4,1.631,13,2.593,20
2022-12-01 11:26:22 +07,2022-12-01 11:26:22 +07,32,0.576,64.099998,32,66,1010,49299,0,1.41,0,0,0,1,4,7.5,1.23,40,2.22,47
2022-12-01 11:36:22 +07,2022-12-01 11:36:22 +07,32,0.835,21.700001,32,65,1010,67427,0,1.67,0,0,0,1,4,7.4,1.831,32,2.547,25
