gw_timestamp,time_stamp,err_flag,wind_velocity,wind_direction,temperature,humidity,air_pressure,illuminance,rain_level,ultra_violet_a,ultra_violet_b,acceleration_x,acceleration_y,acceleration_z,inclination_xz,inclination_yz,max_wind_velocity,direct_max_wind_velocity,max_inst_wind_velocity,direct_max_inst_wind_velocity,,,,,
2022-02-04 17:09:07 +07,2022-02-04 17:09:07 +07,0,1.32,1116694118,31,68,1008,11682,0,4.77,0.07,0,0,1,13.5,11.1,0,0,0,0,,,,min,#NUM!
2022-02-04 17:14:14 +07,2022-02-04 17:14:14 +07,0,0.291,0,31,69,1008,11611,0,5.17,0.07,0,0,1,4.3,6.8,0,0,0,0,,,,q1,
2022-02-04 17:19:04 +07,2022-02-04 17:19:04 +07,0,4.164,1108213760,31,69,1008,10727,0,4.61,0.06,0,0,1,4.2,7.2,0,0,0,0,,,,mean,
2022-02-04 17:29:04 +07,2022-02-04 17:29:04 +07,0,2.876,1120862208,30,73,1008,7229,0,3.55,0.04,0,0,1,3.7,7.6,0,0,0,0,,,,q3,
2022-02-04 17:39:04 +07,2022-02-04 17:39:04 +07,0,2.607,1100165939,30,77,1008,6622,0,2.83,0.03,0,0,1,4.2,6.9,0,0,0,0,,,,max,
2022-02-04 17:49:04 +07,2022-02-04 17:49:04 +07,0,3.232,1107138970,29,78,1008,5167,0,1.99,0.02,0,0,1,3.7,6.7,0,0,0,0,,,,,
2022-02-04 17:59:04 +07,2022-02-04 17:59:04 +07,0,2.976,1108921549,29,79,1008,4533,0,1.35,0.01,0,0,1,4.3,6.8,0,0,0,0,,,,,
2022-02-04 18:28:17 +07,2022-02-04 18:28:17 +07,0,1.48,1105723392,29,78,1008,44,0,0.09,0,0,0,1,3.8,7,0,0,0,0,,,,,
2022-02-04 18:38:17 +07,2022-02-04 18:38:17 +07,0,0.733,1106824397,29,78,1008,0,0,0.07,0,0,0,1,2.3,5.8,0,0,0,0,,,,,
2022-02-04 18:48:17 +07,2022-02-04 18:48:17 +07,0,1.729,1115999437,29,78,1008,0,0,0.05,0,0,0,1,4.1,6.9,0,0,0,0,,,,,
2022-02-04 19:04:36 +07,2022-02-04 19:04:36 +07,0,0.799,1133487718,29,78,1009,0,0,0.03,0,0,0,1,4,6.8,0,0,0,0,,,,,
2022-02-04 19:14:36 +07,2022-02-04 19:14:36 +07,0,1.442,1107794330,29,78,1009,0,0,0.03,0,0,0,1,3.9,7.1,0,0,0,0,,,,,
2022-02-04 19:24:36 +07,2022-02-04 19:24:36 +07,0,0.153,0,29,79,1009,0,0,0.03,0,0,0,1,4.1,7,0,0,0,0,,,,,
2022-02-04 19:34:36 +07,2022-02-04 19:34:36 +07,0,0.981,1130843341,28,81,1009,0,0,0.04,0,0,0,1,4,7.1,0,0,0,0,,,,,
2022-02-04 19:44:36 +07,2022-02-04 19:44:36 +07,0,1.919,1133248512,27,85,1009,0,0,0.03,0,0,0,1,4.3,7.2,0,0,0,0,,,,,
2022-02-04 19:54:36 +07,2022-02-04 19:54:36 +07,0,1.921,1128877261,27,86,1009,0,0,0.03,0,0,0,1,4.1,7.1,0,0,0,0,,,,,
2022-02-04 20:04:36 +07,2022-02-04 20:04:36 +07,0,1.729,1129309798,27,87,1009,0,0,0.03,0,0,0,1,4.2,7.1,0,0,0,0,,,,,
