gw_timestamp,time_stamp,err_flag,wind_velocity,wind_direction,temperature,humidity,air_pressure,illuminance,rain_level,ultra_violet_a,ultra_violet_b,acceleration_x,acceleration_y,acceleration_z,inclination_xz,inclination_yz,max_wind_velocity,direct_max_wind_velocity,max_inst_wind_velocity,direct_max_inst_wind_velocity
2023-02-01 00:06:22 +07,2023-02-01 00:06:22 +07,32,0.38,77.699997,22,70,1009,0,0,0.01,0,0,0,1,3.9,7.6,0.484,78,0.521,81
2023-02-01 00:16:22 +07,2023-02-01 00:16:21 +07,32,0.397,93.699997,22,68,1009,0,0,0.01,0,0,0,1,3.9,7.6,0.495,85,0.544,86
2023-02-01 00:26:22 +07,2023-02-01 00:26:22 +07,32,0.366,93,22,68,1009,0,0,0.01,0,0,0,1,3.9,7.6,0.456,80,0.626,226
2023-02-01 00:36:22 +07,2023-02-01 00:36:22 +07,32,0.48,77.300003,22,70,1009,0,0,0.01,0,0,0,1,3.9,7.6,0.548,21,1.196,285
2023-02-01 00:46:22 +07,2023-02-01 00:46:21 +07,32,0.483,78.800003,22,70,1009,0,0,0.01,0,0,0,1,3.9,7.6,0.561,79,1.157,302
2023-02-01 00:56:22 +07,2023-02-01 00:56:22 +07,32,0.533,83.300003,22,69,1009,0,0,0.01,0,0,0,1,3.9,7.6,0.708,79,0.854,72
2023-02-01 01:06:22 +07,2023-02-01 01:06:21 +07,32,0.403,86.300003,22,67,1009,0,0,0.01,0,0,0,1,3.9,7.6,0.426,88,0.49,105
2023-02-01 01:16:22 +07,2023-02-01 01:16:21 +07,32,0.409,88.599998,22,67,1008,0,0,0.01,0,0,0,1,3.9,7.6,0.451,89,0.517,88
2023-02-01 01:26:22 +07,2023-02-01 01:26:21 +07,32,0.507,80.300003,22,69,1008,0,0,0.01,0,0,0,1,3.9,7.6,0.579,75,0.663,68
2023-02-01 01:36:22 +07,2023-02-01 01:36:21 +07,32,0.616,78.400002,21,71,1008,0,0,0.01,0,0,0,1,4,7.6,0.66,79,0.76,74
2023-02-01 01:46:22 +07,2023-02-01 01:46:21 +07,32,0.613,78.900002,21,71,1008,0,0,0.01,0,0,0,1,3.9,7.7,0.658,79,0.769,79
2023-02-01 01:56:22 +07,2023-02-01 01:56:22 +07,32,0.606,79.400002,21,72,1008,0,0,0.01,0,0,0,1,3.9,7.7,0.646,81,0.674,80
2023-02-01 02:06:22 +07,2023-02-01 02:06:21 +07,32,0.609,79.400002,21,73,1008,0,0,0.01,0,0,0,1,3.9,7.7,0.655,78,0.696,78
2023-02-01 02:16:22 +07,2023-02-01 02:16:21 +07,32,0.665,78.599998,21,74,1008,0,0,0.01,0,0,0,1,3.9,7.7,0.687,79,0.729,77
