gw_timestamp,time_stamp,err_flag,wind_velocity,wind_direction,temperature,humidity,air_pressure,illuminance,rain_level,ultra_violet_a,ultra_violet_b,acceleration_x,acceleration_y,acceleration_z,inclination_xz,inclination_yz,max_wind_velocity,direct_max_wind_velocity,max_inst_wind_velocity,direct_max_inst_wind_velocity
2023-01-01 00:06:22 +07,2023-01-01 00:06:21 +07,32,0.999,68.099998,23,71,1014,0,0,0.01,0,0,0,1,4,7.6,1.666,51,2.425,39
2023-01-01 00:16:22 +07,2023-01-01 00:16:21 +07,32,1.061,67.300003,23,70,1014,0,0,0.01,0,0,0,1,4,7.6,1.51,62,2.336,38
2023-01-01 00:26:22 +07,2023-01-01 00:26:21 +07,32,0.888,71,23,71,1014,0,0,0.01,0,0,0,1,4,7.6,1.344,63,1.868,72
2023-01-01 00:36:22 +07,2023-01-01 00:36:21 +07,32,1.217,75.300003,23,72,1014,0,0,0.01,0,0,0,1,4,7.6,1.602,72,2.557,50
2023-01-01 00:46:22 +07,2023-01-01 00:46:21 +07,32,0.802,78.699997,23,72,1014,0,0,0.01,0,0,0,1,4,7.6,1.026,67,1.58,49
2023-01-01 00:56:22 +07,2023-01-01 00:56:21 +07,32,0.856,76.900002,23,72,1014,0,0,0.01,0,0,0,1,4,7.6,1.014,74,1.66,55
2023-01-01 01:06:22 +07,2023-01-01 01:06:21 +07,32,0.903,77.099998,22,72,1014,0,0,0.01,0,0,0,1,4,7.6,1.124,78,1.499,79
2023-01-01 01:16:22 +07,2023-01-01 01:16:21 +07,32,0.87,78.599998,22,73,1014,0,0,0.01,0,0,0,1,4,7.6,1.251,76,1.89,61
2023-01-01 01:26:22 +07,2023-01-01 01:26:22 +07,32,0.947,77,22,73,1014,0,0,0.01,0,0,0,1,4,7.6,1.38,76,1.705,80
2023-01-01 01:36:22 +07,2023-01-01 01:36:21 +07,32,0.89,79.199997,22,73,1014,0,0,0.01,0,0,0,1,4,7.6,1.131,78,1.379,72
2023-01-01 01:46:22 +07,2023-01-01 01:46:22 +07,32,0.924,79,22,72,1014,0,0,0.01,0,0,0,1,4,7.6,1.097,77,1.737,63
2023-01-01 01:56:22 +07,2023-01-01 01:56:22 +07,32,0.802,76.400002,22,72,1013,0,0,0.01,0,0,0,1,4,7.6,1.009,77,1.427,58
2023-01-01 02:06:22 +07,2023-01-01 02:06:21 +07,32,0.802,78.300003,22,73,1013,0,0,0.01,0,0,0,1,4,7.6,0.932,77,1.208,77
2023-01-01 02:16:22 +07,2023-01-01 02:16:21 +07,32,0.812,78.199997,22,74,1013,0,0,0.01,0,0,0,1,4,7.6,1.195,72,1.817,71
2023-01-01 02:26:22 +07,2023-01-01 02:26:21 +07,32,0.929,77.400002,22,74,1013,0,0,0.01,0,0,0,1,4,7.6,1.229,76,2.245,49
2023-01-01 02:36:22 +07,2023-01-01 02:36:21 +07,32,1.132,77.199997,22,73,1013,0,0,0.01,0,0,0,1,4,7.6,1.424,74,1.999,74
2023-01-01 02:46:22 +07,2023-01-01 02:46:21 +07,32,0.937,77,22,74,1013,0,0,0.01,0,0,0,1,4,7.6,1.194,76,1.641,83
2023-01-01 02:56:22 +07,2023-01-01 02:56:22 +07,32,1.306,75.199997,22,74,1013,0,0,0.01,0,0,0,1,4,7.6,1.7,70,2.778,44
2023-01-01 03:06:22 +07,2023-01-01 03:06:22 +07,32,1.441,73.199997,22,74,1013,0,0,0.01,0,0,0,1,4,7.6,1.853,64,2.7,76
2023-01-01 03:16:22 +07,2023-01-01 03:16:22 +07,32,1.331,74.400002,21,74,1013,0,0,0.01,0,0,0,1,4,7.6,1.564,73,2.386,55
2023-01-01 03:26:22 +07,2023-01-01 03:26:21 +07,32,1.45,70.800003,21,74,1013,0,0,0.01,0,0,0,1,4,7.6,1.82,64,2.578,52
2023-01-01 03:36:22 +07,2023-01-01 03:36:21 +07,32,1.448,68.199997,21,75,1013,0,0,0.01,0,0,0,1,4,7.6,1.814,54,2.68,60
2023-01-01 03:46:22 +07,2023-01-01 03:46:21 +07,32,1.447,65.900002,21,75,1013,0,0,0.01,0,0,0,1,4,7.6,1.971,49,2.689,33
2023-01-01 03:56:22 +07,2023-01-01 03:56:21 +07,32,1.293,73,21,75,1013,0,0,0.01,0,0,0,1,4,7.6,1.676,70,2.164,55
2023-01-01 04:06:22 +07,2023-01-01 04:06:22 +07,32,1.185,76.099998,21,76,1013,0,0,0.01,0,0,0,1,4,7.7,1.421,74,2.073,62
2023-01-01 04:16:22 +07,2023-01-01 04:16:21 +07,32,1.337,75.599998,21,76,1012,0,0,0.01,0,0,0,1,4,7.6,1.642,66,2.25,43
2023-01-01 04:26:22 +07,2023-01-01 04:26:22 +07,32,1.164,74.900002,21,77,1012,0,0,0.01,0,0,0,1,4,7.7,1.403,71,1.853,54
2023-01-01 04:36:22 +07,2023-01-01 04:36:21 +07,32,1.164,76.900002,20,77,1013,0,0,0.01,0,0,0,1,4,7.6,1.57,71,2.075,78
2023-01-01 04:46:22 +07,2023-01-01 04:46:21 +07,32,0.94,77,20,77,1013,0,0,0.01,0,0,0,1,4,7.6,1.19,79,1.61,95
2023-01-01 04:56:22 +07,2023-01-01 04:56:22 +07,32,1.028,70.800003,20,77,1013,0,0,0.01,0,0,0,1,4,7.6,1.465,55,2.044,45
2023-01-01 05:06:22 +07,2023-01-01 05:06:21 +07,32,1.248,73.599998,20,76,1013,0,0,0.01,0,0,0,1,4,7.6,1.662,71,2.48,72
2023-01-01 05:16:22 +07,2023-01-01 05:16:22 +07,32,1.119,67.800003,20,76,1013,0,0,0.01,0,0,0,1,4,7.6,1.834,75,2.535,76
2023-01-01 05:26:22 +07,2023-01-01 05:26:21 +07,32,1.054,73.300003,20,76,1013,0,0,0.01,0,0,0,1,4,7.6,1.253,65,2.109,43
2023-01-01 05:36:22 +07,2023-01-01 05:36:21 +07,32,1.312,75.599998,20,76,1013,0,0,0.01,0,0,0,1,4,7.6,1.926,71,3.031,44
2023-01-01 05:46:22 +07,2023-01-01 05:46:22 +07,32,1.32,75.599998,20,76,1013,0,0,0.01,0,0,0,1,4,7.7,1.934,77,2.744,94
2023-01-01 05:56:22 +07,2023-01-01 05:56:22 +07,32,1.003,78.199997,20,77,1013,0,0,0.01,0,0,0,1,4,7.7,1.628,74,2.232,90
2023-01-01 06:06:22 +07,2023-01-01 06:06:22 +07,32,1.071,74.099998,20,77,1013,0,0,0.01,0,0,0,1,4,7.7,1.628,74,1.765,50
2023-01-01 06:16:22 +07,2023-01-01 06:16:22 +07,32,1.309,74.300003,20,77,1013,0,0,0.01,0,0,0,1,4,7.7,1.869,81,2.455,76
2023-01-01 06:26:22 +07,2023-01-01 06:26:21 +07,32,1.269,76.199997,20,77,1014,0,0,0.01,0,0,0,1,4,7.7,1.617,76,2.288,70
2023-01-01 06:36:22 +07,2023-01-01 06:36:21 +07,32,1.471,73.699997,20,77,1014,71,0,0.01,0,0,0,1,3.9,7.7,1.864,68,2.667,69
2023-01-01 06:46:22 +07,2023-01-01 06:46:21 +07,32,1.937,68.5,20,77,1014,373,0,0.02,0,0,0,1,4,7.7,2.673,54,3.431,40
2023-01-01 06:56:22 +07,2023-01-01 06:56:21 +07,32,1.553,72.599998,20,77,1014,1031,0,0.04,0,0,0,1,3.9,7.7,1.98,81,2.696,92
