gw_timestamp,time_stamp,err_flag,wind_velocity,wind_direction,temperature,humidity,air_pressure,illuminance,rain_level,ultra_violet_a,ultra_violet_b,acceleration_x,acceleration_y,acceleration_z,inclination_xz,inclination_yz,max_wind_velocity,direct_max_wind_velocity,max_inst_wind_velocity,direct_max_inst_wind_velocity
2022-07-01 00:00:38 +07,2022-07-01 00:00:38 +07,32,0.844,1127782810,28,81,1003,0,0,0.12,0,0,0,1,4.1,7.1,1.116,181,2.151,235
2022-07-01 00:10:38 +07,2022-07-01 00:10:38 +07,32,0.675,1125823283,28,81,1003,0,0,0.12,0,0,0,1,4.1,7.1,1.024,170,1.856,190
2022-07-01 00:20:38 +07,2022-07-01 00:20:38 +07,32,0.688,1125659443,28,81,1003,0,0,0.11,0,0,0,1,4.1,7.1,1.236,197,2.895,226
2022-07-01 00:30:38 +07,2022-07-01 00:30:38 +07,32,0.528,1124597760,28,81,1003,0,0,0.13,0,0,0,1,4.1,7.1,0.768,170,1.707,287
2022-07-01 00:40:38 +07,2022-07-01 00:40:38 +07,32,0.859,1127605862,28,81,1003,0,0,0.15,0,0,0,1,4.1,7.1,1.397,196,2.608,218
2022-07-01 00:50:38 +07,2022-07-01 00:50:38 +07,32,0.774,1126727680,28,80,1003,0,0,0.15,0,0,0,1,4.1,7.1,1.358,194,3.005,216
2022-07-01 01:00:38 +07,2022-07-01 01:00:38 +07,32,0.84,1127907328,28,79,1003,0,0,0.16,0,0,0,1,4.1,7.1,1.36,195,2.097,243
2022-07-01 01:10:38 +07,2022-07-01 01:10:38 +07,32,0.707,1127094682,28,78,1003,0,0,0.15,0,0,0,1,4.1,7.1,1.308,194,2.237,200
2022-07-01 01:20:38 +07,2022-07-01 01:20:38 +07,32,1.017,1128293990,29,78,1003,0,0,0.14,0,0,0,1,4,7.1,1.989,217,3.085,246
2022-07-01 01:30:38 +07,2022-07-01 01:30:38 +07,32,1.164,1128149811,28,77,1003,0,0,0.14,0,0,0,1,4.1,7.1,1.77,191,2.459,189
2022-07-01 01:40:38 +07,2022-07-01 01:40:38 +07,32,0.975,1127985971,28,77,1003,0,0,0.14,0,0,0,1,4.1,7.1,1.685,199,3.067,247
2022-07-01 01:50:38 +07,2022-07-01 01:50:38 +07,32,1.031,1128385741,28,77,1002,0,0,0.14,0,0,0,1,4.1,7.1,1.478,213,3.034,254
2022-07-01 02:00:38 +07,2022-07-01 02:00:38 +07,32,0.854,1128739635,28,77,1002,0,0,0.13,0,0,0,1,4.1,7.1,1.481,220,2.79,235
2022-07-01 02:10:38 +07,2022-07-01 02:10:38 +07,32,0.668,1127756595,28,78,1002,0,0,0.14,0,0,0,1,4.1,7.1,1.237,205,2.572,251
2022-07-01 02:20:38 +07,2022-07-01 02:20:38 +07,32,0.746,1126786662,28,78,1002,0,0,0.14,0,0,0,1,4.1,7.1,1.436,197,2.852,239
2022-07-01 02:30:38 +07,2022-07-01 02:30:38 +07,32,0.501,1124499456,28,79,1002,0,0,0.14,0,0,0,1,4.1,7.1,0.679,176,1.942,273
2022-07-01 02:40:38 +07,2022-07-01 02:40:38 +07,32,0.577,1124945101,28,79,1002,0,0,0.14,0,0,0,1,4.1,7.1,0.956,167,2.287,182
2022-07-01 02:50:38 +07,2022-07-01 02:50:38 +07,32,0.728,1125449728,28,80,1002,0,0,0.15,0,0,0,1,4.1,7.1,1.534,218,2.719,195
2022-07-01 03:00:38 +07,2022-07-01 03:00:38 +07,32,0.706,1125167923,28,81,1002,0,0,0.14,0,0,0,1,4,7.1,1.232,255,2.197,284
2022-07-01 03:10:38 +07,2022-07-01 03:10:38 +07,32,0.59,1123391898,28,81,1002,0,0,0.13,0,0,0,1,4.1,7.1,1.273,185,2.867,220
2022-07-01 03:20:38 +07,2022-07-01 03:20:38 +07,32,0.761,1125403853,28,81,1002,0,0,0.12,0,0,0,1,4,7.1,1.839,239,2.805,243
2022-07-01 03:30:38 +07,2022-07-01 03:30:38 +07,32,0.437,1120809779,28,81,1002,0,0,0.12,0,0,0,1,4.1,7.1,0.593,97,1.677,245
2022-07-01 03:40:38 +07,2022-07-01 03:40:38 +07,32,0.719,1124879565,28,81,1002,0,0,0.13,0,0,0,1,4,7.1,1.43,187,2.705,198
2022-07-01 03:50:38 +07,2022-07-01 03:50:38 +07,32,0.581,1123536077,28,81,1002,0,0,0.12,0,0,0,1,4,7.1,1.186,184,2.841,215
2022-07-01 04:00:38 +07,2022-07-01 04:00:38 +07,32,0.78,1125561139,27,82,1002,0,0,0.12,0,0,0,1,4.1,7.1,1.486,200,2.808,181
2022-07-01 04:10:38 +07,2022-07-01 04:10:38 +07,32,0.696,1124833690,27,82,1002,0,0,0.1,0,0,0,1,4,7.1,0.999,163,2.34,204
