gw_timestamp,time_stamp,err_flag,wind_velocity,wind_direction,temperature,humidity,air_pressure,illuminance,rain_level,ultra_violet_a,ultra_violet_b,acceleration_x,acceleration_y,acceleration_z,inclination_xz,inclination_yz,max_wind_velocity,direct_max_wind_velocity,max_inst_wind_velocity,direct_max_inst_wind_velocity
2022-06-01 00:01:12 +07,2022-06-01 00:01:12 +07,32,1.163,1117952410,28,86,1006,0,0,0.07,0,0,0,1,4.1,7.1,1.403,77,1.868,83
2022-06-01 00:11:12 +07,2022-06-01 00:11:12 +07,32,0.787,1119289344,28,86,1005,0,0,0.07,0,0,0,1,4.1,7.1,1.201,82,1.824,82
2022-06-01 00:21:12 +07,2022-06-01 00:21:12 +07,32,1.114,1118371840,28,85,1005,0,0,0.07,0,0,0,1,4.1,7.1,1.726,77,2.367,57
2022-06-01 00:31:12 +07,2022-06-01 00:31:12 +07,32,1.144,1119813632,28,85,1005,0,0,0.08,0,0,0,1,4.1,7.1,1.495,94,2.449,88
2022-06-01 00:41:12 +07,2022-06-01 00:41:12 +07,32,0.872,1118568448,28,86,1005,0,0,0.07,0,0,0,1,4.1,7.1,1.368,96,2.404,101
2022-06-01 00:51:12 +07,2022-06-01 00:51:12 +07,32,0.878,1118450483,28,86,1005,0,0,0.07,0,0,0,1,4,7.1,1.394,78,1.902,87
2022-06-01 01:01:12 +07,2022-06-01 01:01:12 +07,32,1.047,1118214554,28,87,1005,0,0,0.07,0,0,0,1,4,7.1,1.546,76,2.49,94
2022-06-01 01:11:12 +07,2022-06-01 01:11:12 +07,32,0.806,1117637837,28,87,1005,0,0,0.07,0,0,0,1,4.1,7.1,1.1,72,1.775,69
2022-06-01 01:21:12 +07,2022-06-01 01:21:12 +07,32,0.99,1118529126,28,87,1005,0,0,0.07,0,0,0,1,4.1,7.1,1.609,81,2.552,72
2022-06-01 01:31:12 +07,2022-06-01 01:31:12 +07,32,0.741,1118594662,27,87,1005,0,0,0.08,0,0,0,1,4.1,7.1,1.2,80,1.654,112
2022-06-01 01:41:12 +07,2022-06-01 01:41:12 +07,32,0.656,1118633984,27,87,1004,0,0,0.08,0,0,0,1,4.1,7.1,0.925,73,1.165,67
2022-06-01 01:51:12 +07,2022-06-01 01:51:12 +07,32,0.616,1118961664,27,88,1004,0,0,0.08,0,0,0,1,4,7.1,0.662,86,0.781,101
2022-06-01 02:01:12 +07,2022-06-01 02:01:12 +07,32,0.666,1118489805,27,88,1004,0,0,0.08,0,0,0,1,4.1,7.1,0.729,76,0.824,72
2022-06-01 02:11:12 +07,2022-06-01 02:11:12 +07,32,0.679,1117965517,27,88,1004,0,0,0.08,0,0,0,1,4,7.1,0.851,71,1.262,57
2022-06-01 02:21:12 +07,2022-06-01 02:21:12 +07,32,0.676,1119040307,28,88,1004,0,0,0.09,0,0,0,1,4.1,7.1,0.828,89,0.974,79
