gw_timestamp,time_stamp,err_flag,wind_velocity,wind_direction,temperature,humidity,air_pressure,illuminance,rain_level,ultra_violet_a,ultra_violet_b,acceleration_x,acceleration_y,acceleration_z,inclination_xz,inclination_yz,max_wind_velocity,direct_max_wind_velocity,max_inst_wind_velocity,direct_max_inst_wind_velocity
2022-05-23 21:03:50 +07,2022-05-23 21:03:50 +07,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-23 21:05:49 +07,2022-05-23 21:05:49 +07,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-23 21:07:01 +07,2022-05-23 21:07:01 +07,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-23 21:09:44 +07,2022-05-23 21:09:44 +07,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-23 21:10:13 +07,2022-05-23 21:10:13 +07,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-23 21:15:05 +07,2022-05-23 21:15:04 +07,32,0,0,30,76,1004,0,0,0,0,0,0,1,4.1,7.1,0,0,0,0
2022-05-23 21:16:17 +07,2022-05-23 21:16:17 +07,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-23 21:17:57 +07,2022-05-23 21:17:56 +07,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-23 21:25:19 +07,2022-05-23 21:25:18 +07,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-23 21:35:19 +07,2022-05-23 21:35:18 +07,32,0.852,1128588902,30,77,1005,0,0,0.06,0,0,0,1,4.1,7.1,1.381,220,2.379,247
2022-05-23 21:40:13 +07,2022-05-23 21:40:13 +07,32,0.877,1128752742,30,77,1005,0,0,0.06,0,0,0,1,4.1,7.1,1.381,220,2.379,247
2022-05-23 21:41:46 +07,2022-05-23 21:41:46 +07,32,0.851,1128497152,30,77,1005,0,0,0.06,0,0,0,1,4.1,7.1,1.381,220,2.379,247
2022-05-23 21:42:52 +07,2022-05-23 21:42:52 +07,32,0.828,1128444723,30,77,1005,0,0,0.07,0,0,0,1,4.1,7.1,1.381,220,2.379,247
2022-05-23 21:44:52 +07,2022-05-23 21:44:52 +07,32,0.791,1128293990,30,77,1005,0,0,0.06,0,0,0,1,4.1,7.1,1.408,194,2.379,247
2022-05-23 21:45:19 +07,2022-05-23 21:45:18 +07,32,0.739,1128005632,30,77,1005,0,0,0.06,0,0,0,1,4.1,7.1,1.408,194,2.307,216
2022-05-23 21:55:19 +07,2022-05-23 21:55:18 +07,32,0.878,1128674099,30,77,1005,0,0,0.06,0,0,0,1,4.1,7.1,1.142,181,1.999,249
2022-05-23 22:05:19 +07,2022-05-23 22:05:18 +07,32,1.034,1128457830,30,77,1005,0,0,0.06,0,0,0,1,4.1,7.1,1.958,205,3.209,202
2022-05-23 22:15:19 +07,2022-05-23 22:15:18 +07,32,0.896,1128352973,30,76,1005,0,0,0.07,0,0,0,1,4.1,7.1,1.898,205,2.326,216
2022-05-23 22:25:19 +07,2022-05-23 22:25:18 +07,32,0.405,1127835238,30,77,1005,0,0,0.06,0,0,0,1,4.1,7.1,0.921,212,1.836,188
2022-05-23 22:35:19 +07,2022-05-23 22:35:18 +07,32,0.226,0,29,77,1005,0,0,0.06,0,0,0,1,4.1,7.1,0.317,158,0.481,130
2022-05-23 22:45:19 +07,2022-05-23 22:45:18 +07,32,0.36,1127022592,29,77,1005,0,0,0.06,0,0,0,1,4.1,7.1,0.461,205,1.511,219
2022-05-23 22:55:19 +07,2022-05-23 22:55:18 +07,32,0.286,0,29,77,1005,0,0,0.06,0,0,0,1,4.1,7.1,0.624,203,0.955,191
2022-05-23 23:05:19 +07,2022-05-23 23:05:18 +07,32,0.376,1129689907,29,75,1005,0,0,0.06,0,0,0,1,4.1,7.1,1.232,218,2.35,216
