gw_timestamp,time_stamp,err_flag,wind_velocity,wind_direction,temperature,humidity,air_pressure,illuminance,rain_level,ultra_violet_a,ultra_violet_b,acceleration_x,acceleration_y,acceleration_z,inclination_xz,inclination_yz,max_wind_velocity,direct_max_wind_velocity,max_inst_wind_velocity,direct_max_inst_wind_velocity
2022-11-01 00:06:22 +07,2022-11-01 00:06:22 +07,32,0.82,79.699997,26,76,1009,0,0,0.29,0,0,0,1,4,7.1,0.858,79,0.902,77
2022-11-01 00:16:22 +07,2022-11-01 00:16:22 +07,32,0.883,78.699997,25,77,1009,0,0,0.34,0,0,0,1,4,7.1,0.953,77,1.034,71
2022-11-01 00:26:22 +07,2022-11-01 00:26:22 +07,32,0.902,78.5,25,78,1009,0,0,0.37,0,0,0,1,4,7.1,0.977,76,1.087,74
2022-11-01 00:36:22 +07,2022-11-01 00:36:22 +07,32,0.911,79.599998,25,78,1009,0,0,0.37,0,0,0,1,4,7.1,0.95,82,1.031,73
2022-11-01 00:46:22 +07,2022-11-01 00:46:22 +07,32,0.881,79.599998,25,79,1009,0,0,0.37,0,0,0,1,4,7.1,0.918,80,0.949,80
2022-11-01 00:56:22 +07,2022-11-01 00:56:21 +07,32,0.918,79.099998,25,79,1009,0,0,0.38,0,0,0,1,4,7.1,0.975,76,1.065,75
2022-11-01 01:06:22 +07,2022-11-01 01:06:22 +07,32,0.87,78.599998,25,79,1009,0,0,0.37,0,0,0,1,4,7.2,0.897,79,0.938,79
2022-11-01 01:16:22 +07,2022-11-01 01:16:21 +07,32,0.77,77.099998,25,80,1009,0,0,0.35,0,0,0,1,4,7.2,0.868,78,0.954,79
2022-11-01 01:26:22 +07,2022-11-01 01:26:21 +07,32,0.814,76.300003,25,80,1009,0,0,0.35,0,0,0,1,4,7.2,0.918,77,0.952,81
2022-11-01 01:36:22 +07,2022-11-01 01:36:22 +07,32,0.938,78.699997,25,81,1009,0,0,0.35,0,0,0,1,4,7.1,0.97,80,1.001,80
2022-11-01 01:46:22 +07,2022-11-01 01:46:22 +07,32,0.956,78.300003,25,82,1009,0,0,0.34,0,0,0,1,4,7.2,1.007,79,1.041,80
2022-11-01 01:56:22 +07,2022-11-01 01:56:21 +07,32,1.025,79.400002,24,83,1008,0,0,0.35,0,0,0,1,4,7.2,1.058,80,1.107,81
2022-11-01 02:06:22 +07,2022-11-01 02:06:22 +07,32,1.058,78.900002,24,84,1008,0,0,0.33,0,0,0,1,4,7.2,1.116,78,1.176,79
2022-11-01 02:16:22 +07,2022-11-01 02:16:21 +07,32,1.106,78.699997,24,85,1008,0,0,0.34,0,0,0,1,4,7.2,1.139,78,1.245,76
2022-11-01 02:26:22 +07,2022-11-01 02:26:21 +07,32,1.073,79,24,84,1008,0,0,0.35,0,0,0,1,4,7.2,1.096,79,1.15,80
2022-11-01 02:36:22 +07,2022-11-01 02:36:22 +07,32,1.11,79,24,85,1008,0,0,0.35,0,0,0,1,4,7.2,1.148,79,1.227,82
2022-11-01 02:46:22 +07,2022-11-01 02:46:22 +07,32,1.088,79,24,85,1008,0,0,0.36,0,0,0,1,4,7.2,1.112,78,1.173,79
2022-11-01 02:56:22 +07,2022-11-01 02:56:22 +07,32,1.062,79.800003,24,85,1008,0,0,0.35,0,0,0,1,4,7.2,1.114,79,1.182,80
2022-11-01 03:06:22 +07,2022-11-01 03:06:21 +07,32,1.063,79.300003,24,85,1008,0,0,0.3,0,0,0,1,4,7.2,1.075,79,1.14,79
2022-11-01 03:16:22 +07,2022-11-01 03:16:21 +07,32,1.095,79,24,86,1008,0,0,0.29,0,0,0,1,4,7.2,1.108,78,1.166,78
2022-11-01 03:26:22 +07,2022-11-01 03:26:21 +07,32,1.067,78.199997,24,87,1008,0,0,0.28,0,0,0,1,4,7.2,1.112,79,1.171,81
2022-11-01 03:36:22 +07,2022-11-01 03:36:21 +07,32,1.116,79,24,87,1008,0,0,0.31,0,0,0,1,4,7.2,1.126,79,1.192,80
2022-11-01 03:46:22 +07,2022-11-01 03:46:22 +07,32,1.124,79.199997,24,87,1008,0,0,0.3,0,0,0,1,4,7.2,1.147,79,1.209,80
2022-11-01 03:56:22 +07,2022-11-01 03:56:22 +07,32,1.12,78.599998,24,86,1008,0,0,0.31,0,0,0,1,4,7.2,1.154,78,1.247,78
2022-11-01 04:06:22 +07,2022-11-01 04:06:22 +07,32,1.092,77.800003,24,85,1008,0,0,0.39,0,0,0,1,4,7.2,1.225,77,1.418,76
2022-11-01 04:16:22 +07,2022-11-01 04:16:21 +07,32,1.082,78.400002,24,83,1008,0,0,0.43,0,0,0,1,4,7.2,1.172,79,1.318,80
2022-11-01 04:26:22 +07,2022-11-01 04:26:22 +07,32,0.981,78.5,24,84,1008,0,0,0.47,0,0,0,1,4,7.2,1.064,78,1.088,79
2022-11-01 04:36:22 +07,2022-11-01 04:36:21 +07,32,1.011,78.300003,24,85,1008,0,0,0.46,0,0,0,1,4,7.2,1.07,80,1.134,80
2022-11-01 04:46:22 +07,2022-11-01 04:46:22 +07,32,1.014,78.800003,24,85,1008,0,0,0.39,0,0,0,1,4,7.2,1.049,81,1.092,82
2022-11-01 04:56:22 +07,2022-11-01 04:56:22 +07,32,1.033,80.400002,24,85,1008,0,0,0.37,0,0,0,1,4,7.2,1.055,80,1.101,82
