gw_timestamp,time_stamp,err_flag,wind_velocity,wind_direction,temperature,humidity,air_pressure,illuminance,rain_level,ultra_violet_a,ultra_violet_b,acceleration_x,acceleration_y,acceleration_z,inclination_xz,inclination_yz,max_wind_velocity,direct_max_wind_velocity,max_inst_wind_velocity,direct_max_inst_wind_velocity
2022-10-01 00:07:05 +07,2022-10-01 00:07:04 +07,32,0.94,83.300003,27,88,1005,0,0,0.01,0,0,0,1,4,7.1,1.042,80,1.113,80
2022-10-01 00:17:05 +07,2022-10-01 00:17:05 +07,32,0.912,84.699997,27,89,1005,0,0,0,0,0,0,1,4,7.1,1.037,84,1.193,91
2022-10-01 00:27:05 +07,2022-10-01 00:27:04 +07,32,0.941,86.599998,27,88,1005,0,0,0.01,0,0,0,1,4,7.1,1.1,96,1.522,157
2022-10-01 00:37:05 +07,2022-10-01 00:37:04 +07,32,0.902,84,27,88,1005,0,0,0.01,0,0,0,1,4,7.1,1.038,95,1.334,123
2022-10-01 00:47:05 +07,2022-10-01 00:47:04 +07,32,0.878,84,27,88,1005,0,0,0.01,0,0,0,1,4,7.1,0.964,77,1.203,126
2022-10-01 00:57:05 +07,2022-10-01 00:57:05 +07,32,0.91,78.099998,27,88,1005,0,0,0.01,0,0,0,1,4,7.1,0.995,80,1.087,85
2022-10-01 01:07:05 +07,2022-10-01 01:07:04 +07,32,1.078,79.199997,27,89,1005,0,0,0.01,0,0,0,1,4,7.1,1.138,80,1.207,80
2022-10-01 01:17:05 +07,2022-10-01 01:17:04 +07,32,1.08,79.599998,26,90,1005,0,0,0.01,0,0,0,1,4,7.1,1.109,80,1.162,81
2022-10-01 01:27:05 +07,2022-10-01 01:27:04 +07,32,1.126,79.199997,26,91,1005,0,0,0.01,0,0,0,1,4,7.1,1.212,78,1.28,79
2022-10-01 01:37:05 +07,2022-10-01 01:37:04 +07,32,1.166,79,26,92,1004,0,0,0.01,0,0,0,1,4,7.1,1.23,78,1.35,79
2022-10-01 01:47:05 +07,2022-10-01 01:47:05 +07,32,1.149,79.199997,26,93,1004,0,0,0.01,0,0,0,1,4,7.1,1.196,79,1.321,79
2022-10-01 01:57:05 +07,2022-10-01 01:57:04 +07,32,1.148,79.5,26,94,1004,0,0,0.01,0,0,0,1,4,7.1,1.184,80,1.291,82
2022-10-01 02:07:05 +07,2022-10-01 02:07:04 +07,32,1.044,76.800003,26,94,1004,0,0,0.01,0,0,0,1,4,7.1,1.141,79,1.212,80
2022-10-01 02:17:05 +07,2022-10-01 02:17:05 +07,32,1.043,76.300003,26,94,1004,0,0,0.01,0,0,0,1,4,7.1,1.146,78,1.216,81
2022-10-01 02:27:05 +07,2022-10-01 02:27:04 +07,32,1.058,78.099998,26,93,1004,0,0,0.01,0,0,0,1,4,7.1,1.155,77,1.279,79
2022-10-01 02:37:05 +07,2022-10-01 02:37:04 +07,32,1.152,77.800003,26,92,1004,0,0,0.01,0,0,0,1,4,7.1,1.186,77,1.358,75
2022-10-01 02:47:05 +07,2022-10-01 02:47:04 +07,32,1.191,76.5,26,91,1004,0,0,0.01,0,0,0,1,4,7.1,1.365,73,1.597,79
2022-10-01 02:57:05 +07,2022-10-01 02:57:05 +07,32,1.16,77.199997,26,91,1004,0,0,0.01,0,0,0,1,4,7.1,1.255,71,1.507,69
2022-10-01 03:07:05 +07,2022-10-01 03:07:04 +07,32,1.141,78.199997,26,91,1004,0,0,0.01,0,0,0,1,4,7.1,1.217,73,1.534,60
2022-10-01 03:17:05 +07,2022-10-01 03:17:04 +07,32,1.152,77.199997,26,92,1004,0,0,0.01,0,0,0,1,4,7.1,1.216,79,1.454,81
2022-10-01 03:27:05 +07,2022-10-01 03:27:04 +07,32,1.227,75.699997,26,92,1004,0,0,0.01,0,0,0,1,4,7.1,1.388,71,1.659,59
2022-10-01 03:37:05 +07,2022-10-01 03:37:05 +07,32,1.294,75.099998,26,92,1004,0,0,0,0,0,0,1,4,7.1,1.463,77,1.968,86
2022-10-01 03:47:05 +07,2022-10-01 03:47:04 +07,32,1.483,74.800003,26,93,1004,0,0,0,0,0,0,1,4,7.1,2.131,69,2.63,67
2022-10-01 03:57:05 +07,2022-10-01 03:57:04 +07,32,1.397,76,26,93,1004,0,0,0.01,0,0,0,1,4,7.1,1.733,69,2.238,75
2022-10-01 04:07:05 +07,2022-10-01 04:07:05 +07,32,1.548,74.5,26,93,1004,0,0,0.01,0,0,0,1,4,7.1,1.849,68,2.293,78
2022-10-01 04:17:05 +07,2022-10-01 04:17:04 +07,32,1.464,73.300003,26,94,1004,0,0,0.01,0,0,0,1,4,7.1,1.959,66,2.276,73
2022-10-01 04:27:05 +07,2022-10-01 04:27:04 +07,32,1.536,74.400002,26,94,1004,0,0,0,0,0,0,1,4,7.1,1.866,77,2.454,73
2022-10-01 04:37:05 +07,2022-10-01 04:37:04 +07,32,1.54,71.900002,26,95,1004,0,0,0,0,0,0,1,4,7.1,2.038,72,2.736,59
