gw_timestamp,time_stamp,err_flag,wind_velocity,wind_direction,temperature,humidity,air_pressure,illuminance,rain_level,ultra_violet_a,ultra_violet_b,acceleration_x,acceleration_y,acceleration_z,inclination_xz,inclination_yz,max_wind_velocity,direct_max_wind_velocity,max_inst_wind_velocity,direct_max_inst_wind_velocity
2022-09-01 00:08:54 +07,2022-09-01 00:08:54 +07,32,1.298,82.699997,24,97,1007,0,0,0.21,0,0,0,1,4,7.1,1.39,85,1.601,90
2022-09-01 00:18:54 +07,2022-09-01 00:18:54 +07,32,1.334,80.699997,24,97,1007,0,0,0.22,0,0,0,1,4,7.1,1.436,78,1.587,93
2022-09-01 00:28:54 +07,2022-09-01 00:28:54 +07,32,1.325,90.5,24,96,1007,0,0,0.23,0,0,0,1,4,7.1,1.509,113,2.116,128
2022-09-01 00:38:54 +07,2022-09-01 00:38:54 +07,32,1.347,85.699997,25,95,1006,0,0,0.23,0,0,0,1,4,7.1,1.501,103,1.863,111
2022-09-01 00:48:54 +07,2022-09-01 00:48:54 +07,32,1.277,80.099998,25,96,1006,0,0,0.24,0,0,0,1,4,7.1,1.334,78,1.44,79
2022-09-01 00:58:54 +07,2022-09-01 00:58:54 +07,32,1.322,78.900002,24,96,1007,0,0,0.23,0,0,0,1,4,7.1,1.448,78,1.546,73
2022-09-01 01:08:54 +07,2022-09-01 01:08:54 +07,32,1.42,78,24,96,1007,0,0,0.25,0,0,0,1,4,7.1,1.734,75,2.251,73
2022-09-01 01:18:54 +07,2022-09-01 01:18:54 +07,32,1.441,78.400002,25,96,1007,0,0,0.23,0,0,0,1,4,7.1,1.778,77,2.419,68
2022-09-01 01:28:54 +07,2022-09-01 01:28:54 +07,32,1.556,76.400002,25,96,1007,0,0,0.23,0,0,0,1,4,7.1,2.041,71,2.572,70
2022-09-01 01:38:54 +07,2022-09-01 01:38:54 +07,32,1.364,86.900002,25,96,1006,0,0,0.2,0,0,0,1,4,7.1,1.556,109,2.018,123
2022-09-01 01:48:54 +07,2022-09-01 01:48:54 +07,32,1.38,86.900002,25,96,1006,0,0,0.22,0,0,0,1,4,7.1,1.673,112,2.302,124
2022-09-01 01:58:54 +07,2022-09-01 01:58:54 +07,32,1.409,77.699997,25,96,1006,0,0,0.21,0,0,0,1,4,7.1,1.777,72,2.102,63
2022-09-01 02:08:54 +07,2022-09-01 02:08:54 +07,32,1.571,77.099998,25,97,1006,0,0,0.21,0,0,0,1,4,7.1,1.8,77,2.24,73
2022-09-01 02:18:54 +07,2022-09-01 02:18:54 +07,32,1.385,79.5,25,97,1006,0,0,0.26,0,0,0,1,4.1,7.1,1.644,83,2.166,85
2022-09-01 02:28:54 +07,2022-09-01 02:28:54 +07,32,1.285,81.5,25,97,1006,0,0,0.27,0,0,0,1,4,7.1,1.33,87,1.459,83
